EnrollmentID,StudentID,CourseID,InstructorID,EnrollmentDate,Semester,Grade
E0001,S007,C002,I007,2026-01-10,Semester 1,A
E0002,S014,C006,I004,2026-01-11,Semester 1,A-
E0003,S021,C001,I006,2026-01-12,Semester 1,B+
E0004,S028,C004,I003,2026-01-13,Semester 1,B
E0005,S035,C012,I005,2026-01-14,Semester 1,B-
E0006,S042,C005,I002,2026-01-15,Semester 1,C+
E0007,S049,C009,I004,2026-01-16,Semester 1,C
E0008,S056,C003,I001,2026-01-17,Semester 1,A+
E0009,S063,C011,I008,2026-01-18,Semester 1,A
E0010,S070,C007,I005,2026-01-19,Semester 1,A-
E0011,S077,C008,I007,2026-01-20,Semester 1,B+
E0012,S084,C006,I004,2026-01-21,Semester 1,B
E0013,S091,C010,I006,2026-01-22,Semester 1,B-
E0014,S098,C004,I003,2026-01-23,Semester 1,C+
E0015,S005,C012,I005,2026-01-24,Semester 1,C
E0016,S012,C002,I002,2026-01-25,Semester 1,A+
E0017,S019,C009,I004,2026-01-26,Semester 1,A
E0018,S026,C001,I001,2026-01-27,Semester 1,A-
E0019,S033,C011,I008,2026-01-28,Semester 1,B+
E0020,S040,C007,I005,2026-01-29,Semester 1,B
E0021,S047,C005,I007,2026-01-30,Semester 1,B-
E0022,S054,C006,I004,2026-01-31,Semester 1,C+
E0023,S061,C003,I006,2026-02-01,Semester 1,C
E0024,S068,C004,I003,2026-02-02,Semester 1,A+
E0025,S075,C012,I005,2026-02-03,Semester 1,A
E0026,S082,C008,I002,2026-02-04,Semester 1,A-
E0027,S089,C009,I004,2026-02-05,Semester 1,B+
E0028,S096,C010,I001,2026-02-06,Semester 1,B
E0029,S003,C011,I008,2026-02-07,Semester 1,B-
E0030,S010,C007,I005,2026-02-08,Semester 1,C+
E0031,S017,C002,I007,2026-02-09,Semester 1,C
E0032,S024,C006,I004,2026-02-10,Semester 1,A+
E0033,S031,C001,I006,2026-02-11,Semester 1,A
E0034,S038,C004,I003,2026-02-12,Semester 1,A-
E0035,S045,C012,I005,2026-02-13,Semester 1,B+
E0036,S052,C005,I002,2026-02-14,Semester 1,B
E0037,S059,C009,I004,2026-02-15,Semester 1,B-
E0038,S066,C003,I001,2026-02-16,Semester 1,C+
E0039,S073,C011,I008,2026-02-17,Semester 1,C
E0040,S080,C007,I005,2026-02-18,Semester 1,A+
E0041,S087,C008,I007,2026-02-19,Semester 1,A
E0042,S094,C006,I004,2026-02-20,Semester 1,A-
E0043,S001,C010,I006,2026-02-21,Semester 1,B+
E0044,S008,C004,I003,2026-02-22,Semester 1,B
E0045,S015,C012,I005,2026-02-23,Semester 1,B-
E0046,S022,C002,I002,2026-02-24,Semester 1,C+
E0047,S029,C009,I004,2026-02-25,Semester 1,C
E0048,S036,C001,I001,2026-02-26,Semester 1,A+
E0049,S043,C011,I008,2026-02-27,Semester 1,A
E0050,S050,C007,I005,2026-02-28,Semester 1,A-
E0051,S057,C005,I007,2026-03-01,Semester 1,B+
E0052,S064,C006,I004,2026-03-02,Semester 1,B
E0053,S071,C003,I006,2026-03-03,Semester 1,B-
E0054,S078,C004,I003,2026-03-04,Semester 1,C+
E0055,S085,C012,I005,2026-03-05,Semester 1,C
E0056,S092,C008,I002,2026-03-06,Semester 1,A+
E0057,S099,C009,I004,2026-03-07,Semester 1,A
E0058,S006,C010,I001,2026-03-08,Semester 1,A-
E0059,S013,C011,I008,2026-03-09,Semester 1,B+
E0060,S020,C007,I005,2026-03-10,Semester 1,B
E0061,S027,C002,I007,2026-03-11,Semester 1,B-
E0062,S034,C006,I004,2026-03-12,Semester 1,C+
E0063,S041,C001,I006,2026-03-13,Semester 1,C
E0064,S048,C004,I003,2026-03-14,Semester 1,A+
E0065,S055,C012,I005,2026-03-15,Semester 1,A
E0066,S062,C005,I002,2026-03-16,Semester 1,A-
E0067,S069,C009,I004,2026-03-17,Semester 1,B+
E0068,S076,C003,I001,2026-03-18,Semester 1,B
E0069,S083,C011,I008,2026-03-19,Semester 1,B-
E0070,S090,C007,I005,2026-03-20,Semester 1,C+
E0071,S097,C008,I007,2026-03-21,Semester 1,C
E0072,S004,C006,I004,2026-03-22,Semester 1,A+
E0073,S011,C010,I006,2026-03-23,Semester 1,A
E0074,S018,C004,I003,2026-03-24,Semester 1,A-
E0075,S025,C012,I005,2026-03-25,Semester 1,B+
E0076,S032,C002,I002,2026-03-26,Semester 1,B
E0077,S039,C009,I004,2026-03-27,Semester 1,B-
E0078,S046,C001,I001,2026-03-28,Semester 1,C+
E0079,S053,C011,I008,2026-03-29,Semester 1,C
E0080,S060,C007,I005,2026-03-30,Semester 1,A+
E0081,S067,C005,I007,2026-03-31,Semester 1,A
E0082,S074,C006,I004,2026-04-01,Semester 1,A-
E0083,S081,C003,I006,2026-04-02,Semester 1,B+
E0084,S088,C004,I003,2026-04-03,Semester 1,B
E0085,S095,C012,I005,2026-04-04,Semester 1,B-
E0086,S002,C008,I002,2026-04-05,Semester 1,C+
E0087,S009,C009,I004,2026-04-06,Semester 1,C
E0088,S016,C010,I001,2026-04-07,Semester 1,A+
E0089,S023,C011,I008,2026-04-08,Semester 1,A
E0090,S030,C007,I005,2026-04-09,Semester 1,A-
E0091,S037,C002,I007,2026-04-10,Semester 1,B+
E0092,S044,C006,I004,2026-04-11,Semester 1,B
E0093,S051,C001,I006,2026-04-12,Semester 1,B-
E0094,S058,C004,I003,2026-04-13,Semester 1,C+
E0095,S065,C012,I005,2026-04-14,Semester 1,C
E0096,S072,C005,I002,2026-04-15,Semester 1,A+
E0097,S079,C009,I004,2026-04-16,Semester 1,A
E0098,S086,C003,I001,2026-04-17,Semester 1,A-
E0099,S093,C011,I008,2026-04-18,Semester 1,B+
E0100,S100,C007,I005,2026-04-19,Semester 1,B
E0101,S007,C008,I007,2026-04-20,Semester 1,B-
E0102,S014,C006,I004,2026-04-21,Semester 1,C+
E0103,S021,C010,I006,2026-04-22,Semester 1,C
E0104,S028,C004,I003,2026-04-23,Semester 1,A+
E0105,S035,C012,I005,2026-04-24,Semester 1,A
E0106,S042,C002,I002,2026-04-25,Semester 1,A-
E0107,S049,C009,I004,2026-04-26,Semester 1,B+
E0108,S056,C001,I001,2026-04-27,Semester 1,B
E0109,S063,C011,I008,2026-04-28,Semester 1,B-
E0110,S070,C007,I005,2026-04-29,Semester 1,C+
E0111,S077,C005,I007,2026-04-30,Semester 1,C
E0112,S084,C006,I004,2026-05-01,Semester 1,A+
E0113,S091,C003,I006,2026-05-02,Semester 1,A
E0114,S098,C004,I003,2026-05-03,Semester 1,A-
E0115,S005,C012,I005,2026-05-04,Semester 1,B+
E0116,S012,C008,I002,2026-05-05,Semester 1,B
E0117,S019,C009,I004,2026-05-06,Semester 1,B-
E0118,S026,C010,I001,2026-05-07,Semester 1,C+
E0119,S033,C011,I008,2026-05-08,Semester 1,C
E0120,S040,C007,I005,2026-05-09,Semester 1,A+
E0121,S047,C002,I007,2026-05-10,Semester 1,A
E0122,S054,C006,I004,2026-05-11,Semester 1,A-
E0123,S061,C001,I006,2026-05-12,Semester 1,B+
E0124,S068,C004,I003,2026-05-13,Semester 1,B
E0125,S075,C012,I005,2026-05-14,Semester 1,B-
E0126,S082,C005,I002,2026-05-15,Semester 1,C+
E0127,S089,C009,I004,2026-05-16,Semester 1,C
E0128,S096,C003,I001,2026-05-17,Semester 1,A+
E0129,S003,C011,I008,2026-05-18,Semester 1,A
E0130,S010,C007,I005,2026-05-19,Semester 1,A-
E0131,S017,C008,I007,2026-05-20,Semester 1,B+
E0132,S024,C006,I004,2026-05-21,Semester 1,B
E0133,S031,C010,I006,2026-05-22,Semester 1,B-
E0134,S038,C004,I003,2026-05-23,Semester 1,C+
E0135,S045,C012,I005,2026-05-24,Semester 1,C
E0136,S052,C002,I002,2026-05-25,Semester 1,A+
E0137,S059,C009,I004,2026-05-26,Semester 1,A
E0138,S066,C001,I001,2026-05-27,Semester 1,A-
E0139,S073,C011,I008,2026-05-28,Semester 1,B+
E0140,S080,C007,I005,2026-05-29,Semester 1,B
